trial,THR_OPEN,THR_CLOSE,IV_SCALPING_THR,SCALP_MAX_PER_TICK,THEO_NORM_WINDOW,IV_SCALPING_WINDOW,LOW_VEGA_THR_ADJ,LOW_VEGA_CUTOFF,SMILE_A_ALPHA,d1_total,d2_total,d3_total,train,holdout,total,elapsed,ok,d1_HYDROGEL_PACK,d2_HYDROGEL_PACK,d3_HYDROGEL_PACK,d1_VELVETFRUIT_EXTRACT,d2_VELVETFRUIT_EXTRACT,d3_VELVETFRUIT_EXTRACT,d1_VEV_4000,d2_VEV_4000,d3_VEV_4000,d1_VEV_4500,d2_VEV_4500,d3_VEV_4500,d1_VEV_5000,d2_VEV_5000,d3_VEV_5000,d1_VEV_5100,d2_VEV_5100,d3_VEV_5100,d1_VEV_5200,d2_VEV_5200,d3_VEV_5200,d1_VEV_5300,d2_VEV_5300,d3_VEV_5300,d1_VEV_5400,d2_VEV_5400,d3_VEV_5400,d1_VEV_5500,d2_VEV_5500,d3_VEV_5500,d1_VEV_6000,d2_VEV_6000,d3_VEV_6000,d1_VEV_6500,d2_VEV_6500,d3_VEV_6500
67,1.4928,-0.1132,1.4082,73,69,198,0.0903,3.8637,0.0138,15311,320,9500,15631,9500,25132,9.58,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,378,-33,644,261,-78,919,311,36,781,190,35,670,65,-41,149,-5,0,58,0,0,0,0,0,0
68,0.7315,0.1034,1.0948,91,277,78,0.7033,1.5412,0.045,13361,766,12953,14127,12953,27080,9.5,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,-214,-125,1975,-244,94,1903,-102,278,1412,-95,130,908,-46,31,338,-49,-44,138,0,0,0,0,0,0
69,0.8834,-0.4752,0.4039,145,224,165,0.4054,3.7723,0.0214,14486,816,11752,15302,11752,27054,9.44,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,50,61,1533,206,191,1475,201,-60,1174,-2,126,798,-26,96,343,-54,0,150,0,0,0,0,0,0
70,0.7513,-0.3791,0.7645,103,242,136,0.8391,1.0402,0.0464,13576,1156,12577,14732,12577,27308,9.74,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,-108,-150,1800,-61,410,1568,-101,185,1526,-144,213,858,-72,96,408,-49,0,138,0,0,0,0,0,0
71,1.1556,0.4016,0.7188,115,66,150,0.3902,4.4149,0.0047,14460,2130,11065,16590,11065,27654,9.44,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,93,98,589,188,385,1791,-33,659,1329,25,529,737,31,57,244,45,0,96,0,0,0,0,0,0
72,1.4105,0.2557,1.3397,91,76,63,0.8347,1.7853,0.0468,15734,-1608,8423,14126,8423,22550,9.63,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,403,-835,116,468,-452,772,412,-382,675,248,-170,384,92,-76,146,0,-94,51,0,0,0,0,0,0
73,0.5992,-0.2343,0.9621,68,247,145,0.7851,2.4249,0.0024,12694,1764,13595,14458,13595,28052,9.51,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,138,167,1933,-709,348,2267,-408,421,1625,-314,356,979,-84,95,453,-40,-25,59,0,0,0,0,0,0
74,1.214,-0.1,1.3633,72,234,70,0.0495,3.7956,0.0231,14647,510,12255,15157,12255,27412,9.48,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,609,144,1159,-52,-53,1929,-12,-41,1515,5,57,823,-14,2,400,0,0,150,0,0,0,0,0,0
75,1.2032,0.1445,0.7148,32,283,287,0.5501,1.2684,0.0213,14926,294,12582,15220,12582,27802,9.45,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,161,387,1515,327,-135,1896,172,-207,1474,57,-25,879,98,-90,392,0,-37,147,0,0,0,0,0,0
76,0.6381,-0.2443,1.2126,86,153,217,0.2387,2.6743,0.0338,15149,1190,12288,16339,12288,28628,9.51,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,587,497,1323,81,141,1830,215,14,1427,108,125,901,0,10,381,47,2,147,0,0,0,0,0,0
77,0.4437,0.1432,0.4827,148,281,257,0.4971,1.4901,0.0454,14305,-772,12266,13533,12266,25800,9.89,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,58,-468,2124,106,-296,1553,82,-144,857,-71,-100,895,19,-100,408,0,-65,150,0,0,0,0,0,0
78,1.4958,-0.05,0.5536,69,112,73,0.1747,3.0014,0.0166,15511,26,10794,15537,10794,26332,9.7,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,503,-396,920,376,-111,1152,288,252,1142,184,0,858,49,-76,358,0,-44,85,0,0,0,0,0,0
79,0.742,0.3094,0.6224,25,241,272,0.4128,2.3625,0.0267,15209,88,12110,15297,12110,27408,9.79,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,280,142,1329,260,-198,1489,300,-267,1605,192,-66,984,50,74,326,16,2,98,0,0,0,0,0,0
80,0.7522,-0.1618,0.4683,91,197,297,0.3601,3.5904,0.0269,15018,130,12700,15148,12700,27848,9.55,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,321,194,1793,246,-235,1915,225,-219,1346,48,-130,871,46,83,349,21,36,147,0,0,0,0,0,0
