trial,THR_OPEN_5000,THR_OPEN_5100,THR_OPEN_5200,THR_OPEN_5300,THR_OPEN_5400,THR_OPEN_5500,d1_total,d2_total,d3_total,train,holdout,total,elapsed,ok,d1_HYDROGEL_PACK,d2_HYDROGEL_PACK,d3_HYDROGEL_PACK,d1_VELVETFRUIT_EXTRACT,d2_VELVETFRUIT_EXTRACT,d3_VELVETFRUIT_EXTRACT,d1_VEV_4000,d2_VEV_4000,d3_VEV_4000,d1_VEV_4500,d2_VEV_4500,d3_VEV_4500,d1_VEV_5000,d2_VEV_5000,d3_VEV_5000,d1_VEV_5100,d2_VEV_5100,d3_VEV_5100,d1_VEV_5200,d2_VEV_5200,d3_VEV_5200,d1_VEV_5300,d2_VEV_5300,d3_VEV_5300,d1_VEV_5400,d2_VEV_5400,d3_VEV_5400,d1_VEV_5500,d2_VEV_5500,d3_VEV_5500,d1_VEV_6000,d2_VEV_6000,d3_VEV_6000,d1_VEV_6500,d2_VEV_6500,d3_VEV_6500
60,1.4602,0.8708,0.7208,1.2414,0.9317,0.8384,14598,2938,11816,17536,11816,29352,36.42,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,126,486,1456,161,811,1824,72,542,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
61,1.0983,0.2857,0.9003,0.7379,1.4439,1.4004,14675,3044,12283,17719,12283,30002,36.82,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,593,1923,161,811,1824,72,542,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
62,0.55,0.8151,0.3651,0.7638,1.2604,1.3707,14675,2950,12282,17625,12282,29906,36.86,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,498,1922,161,811,1824,72,542,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
63,0.8195,0.6124,0.4489,1.0033,1.4029,0.3683,14675,2982,12365,17657,12365,30022,38.05,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,531,2005,161,811,1824,72,542,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
64,1.2131,0.2296,0.4523,0.4954,1.0931,0.6187,14679,3076,12264,17755,12264,30018,37.61,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,207,627,1904,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
65,0.662,1.0057,0.3364,1.1502,0.3596,0.8636,14675,2950,12282,17625,12282,29906,38.62,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,498,1922,161,811,1824,72,542,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
66,0.5257,0.457,0.8895,0.7678,0.6885,0.7374,14675,2950,12312,17625,12312,29936,37.23,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
67,0.8882,0.4076,0.4655,1.0207,1.03,0.8885,14675,2982,12365,17657,12365,30022,35.44,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,531,2005,161,811,1824,72,542,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
68,1.3066,0.9952,1.3138,0.5025,1.163,1.2537,14598,3058,12298,17656,12298,29954,36.56,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,126,627,1938,161,811,1824,72,524,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
69,1.3735,0.6106,0.6095,1.3996,0.4836,1.4979,14598,3022,11816,17620,11816,29436,35.37,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,126,570,1456,161,811,1824,72,542,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
